ID	Acct_Sched	Asset_Seq_Nbr	OEC_on_Asset	Residual	Depreciation_Type	Depreciation_Cnt	Tax_Inservice_Date	Salvage_Amt	Date_In_Service	Funding_Date	Asset_Cap_Fees	
198	8418375001	0008	128818.58	51067.77	12	60	09/25/2009	0.00	9/25/2009	9/25/2009	10627.55	
199	8422735089	0001	23589.00	8699.62	18	60	08/24/2010	8699.62	8/24/2010	8/30/2010	0.00	
200	8438817005	0001	23560.00	6398.90	18	60	09/06/2010	6398.90	9/6/2010	9/14/2010	0.00	
201	8440647047	0001	5216.00	426.61	18	60	09/08/2010	0.00	9/8/2010	9/24/2010	72.27	
202	8440647048	0001	2735.00	0.00	16	0	09/08/2010	0.00	9/8/2010	9/24/2010	0.00	
203	8443604002	0001	109450.09	0.00	16	0	08/25/2010	0.00	8/25/2010	8/31/2010	0.00	
204	8443604002	0002	109450.09	0.00	16	0	08/25/2010	0.00	8/25/2010	8/31/2010	0.00	
205	8448766001	0001	122527.53	50.50	16	0	09/14/2010	0.00	9/14/2010	9/16/2010	0.00	
206	8448766001	0002	122527.53	50.50	16	0	09/14/2010	0.00	9/14/2010	9/16/2010	0.00	
207	8451998005	0001	24000.00	5322.96	18	60	08/19/2010	0.00	8/19/2010	8/31/2010	0.00	
208	8451998005	0002	24000.00	5322.96	18	60	08/19/2010	0.00	8/19/2010	8/31/2010	0.00	
209	8452638002	0001	53513.00	0.00	16	0	08/20/2010	0.00	8/20/2010	8/30/2010	0.00	
210	8455408007	0001	40980.20	0.00	18	60	08/25/2010	0.00	8/25/2010	9/17/2010	0.00	
211	8455902001	0001	194020.00	62935.00	18	60	08/25/2010	0.00	8/25/2010	8/30/2010	0.00	
212	8455902001	0002	0.00	0.00	18	60	08/25/2010	0.00	8/25/2010	8/30/2010	0.00	
213	8458233002	0001	12000.00	0.00	16	0	09/01/2010	0.00	9/1/2010	9/9/2010	0.00	
214	8458823002	0001	47505.06	5672.44	18	60	09/24/2010	0.00	9/24/2010	9/24/2010	0.00	
215	8458823002	0002	21320.90	2545.86	18	60	09/24/2010	0.00	9/24/2010	9/24/2010	0.00	
216	8458823002	0003	191066.67	22814.70	18	60	09/24/2010	0.00	9/24/2010	9/24/2010	0.00	
217	8459961001	0001	14429.00	0.00	16	0	08/10/2010	0.00	8/10/2010	8/27/2010	0.00	
218	8461093001	0001	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
219	8461093001	0002	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
220	8461093001	0003	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
221	8461093001	0004	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
222	8461093001	0005	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
223	8461093001	0006	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
224	8461093001	0007	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
225	8461093001	0008	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
226	8461093001	0009	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
227	8461093001	0010	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
228	8461093001	0011	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
229	8461093001	0012	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
230	8461093001	0013	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
231	8461093001	0014	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
232	8461093001	0015	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
233	8461093001	0016	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
234	8461093001	0017	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
235	8461093001	0018	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
236	8461093001	0019	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
237	8461093001	0020	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
238	8461093001	0021	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
239	8461093001	0022	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
240	8461093001	0023	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
241	8461093001	0024	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
242	8461093001	0025	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
243	8461093001	0026	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
244	8461093001	0027	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
245	8461093001	0028	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
246	8461093001	0029	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
247	8461093001	0030	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
248	8461093001	0031	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
249	8461093001	0032	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
250	8461093001	0033	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
251	8461093001	0034	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
252	8461093001	0035	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
253	8461093001	0036	92671.63	0.00	16	0	07/01/2010	0.00	7/1/2010	7/1/2010	0.00	
